workload_id,rho,capacity,quantizer,arrival_scheduling_mode,configured_fine_deltas,positive_fine_deltas,zero_fine_deltas,min_included_delta,max_included_delta,status,exponent,intercept,r_squared
workload_0617fe2346fb8937bf983015,1.25,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.969913034449827,0.6659285811286363,0.9717948083688626
workload_0617fe2346fb8937bf983015,1.25,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.0673573069610898,1.2390639118153401,0.9979419623628488
workload_0724f54bc7a548899a3ed4b4,1.1,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8681280975278967,-0.44825079636519854,0.8577754885731169
workload_0724f54bc7a548899a3ed4b4,1.1,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8960300636472287,0.18137888080163253,0.9967837954891158
workload_0724f54bc7a548899a3ed4b4,1.1,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9818598462712057,0.563865807633605,0.999176073612886
workload_07255067b65d9b7080136566,1.25,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9402841970555362,0.35470800705379196,0.9900754417620299
workload_07255067b65d9b7080136566,1.25,8,floor,preload_all,6,5,1,3e-05,0.003,one_missing,0.992914736142327,0.9792433226332742,0.9971689953522734
workload_07255067b65d9b7080136566,1.25,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,1.0182623644831528,0.9366359042940174,0.9329365972995037
workload_07f64e1c83b3843ad3e07f0a,1.1,8,ceiling,preload_all,6,5,1,1e-05,0.003,one_missing,0.912929511355785,-0.03826261595719911,0.9858893227037113
workload_07f64e1c83b3843ad3e07f0a,1.1,8,floor,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.9633793372498042,0.8024830885263833,0.999447373987177
workload_07f64e1c83b3843ad3e07f0a,1.1,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.0604182288626653,1.2265123239197195,0.9910836160579249
workload_08be9e06af1397dbd54da50d,1.25,16,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.1316150682477288,1.498759887358965,0.9717279662870746
workload_08be9e06af1397dbd54da50d,1.25,16,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9878424820950062,0.9116907338252355,0.9919062495968496
workload_08be9e06af1397dbd54da50d,1.25,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,1.0538112140465319,1.1531555792980561,0.9470261031352502
workload_098986fc4e66126314a5d028,0.5,16,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9510089960205174,-0.8013338695874064,0.9329452503953071
workload_098986fc4e66126314a5d028,0.5,16,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.0515645285731663,0.984358631140641,0.9950533320755934
workload_098986fc4e66126314a5d028,0.5,16,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.9004841592086219,-0.4383770418650408,0.992358164607779
workload_09a16b901920057dfeb73d5b,1.0,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.937746087213056,-0.26100813729599437,0.9834520862889221
workload_09a16b901920057dfeb73d5b,1.0,8,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0459517700247267,1.1633305913500358,0.9854446236637099
workload_09a16b901920057dfeb73d5b,1.0,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.8576570876992753,-0.4704619155823336,0.9824015201594887
workload_0a01ac908357af19f4851399,0.5,1,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.0039300737511332,-0.6946270397907794,0.8875547754390021
workload_0a01ac908357af19f4851399,0.5,1,floor,preload_all,6,6,0,1e-05,0.003,complete,0.7370162161554742,-1.6456619382987399,0.8933861709192369
workload_0a01ac908357af19f4851399,0.5,1,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.8469433473016237,-1.1571228008253482,0.9435970011401877
workload_0a19ad1b19d14fc7c7e076d6,1.25,16,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9444902205123431,0.25821665622627044,0.9964785929063052
workload_0a19ad1b19d14fc7c7e076d6,1.25,16,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.0297243772878175,1.194079890302635,0.9951130365939546
workload_0a19ad1b19d14fc7c7e076d6,1.25,16,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.9573018081371245,0.5258244658737252,0.9823988028559035
workload_0a78128b6868955af1fe0724,1.25,16,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9894244495236666,0.4262315674061895,0.932702367088706
workload_0a78128b6868955af1fe0724,1.25,16,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9778684014279319,0.746055338498088,0.978074585330292
workload_0a78128b6868955af1fe0724,1.25,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9808795353876002,0.6267521445165605,0.9980585934860758
workload_0a7cb2e0979cece383a04d97,0.8,1,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8401096970080729,-1.152632678020529,0.9819906703759242
workload_0a7cb2e0979cece383a04d97,0.8,1,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9975831576074387,0.4098724886924544,0.9717122918834353
workload_0a7cb2e0979cece383a04d97,0.8,1,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.08157038739451,0.8272320481218333,0.9967565893689284
workload_0b26f746416718fe91940966,0.95,16,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9808763809953831,0.27296141385485256,0.9928256782553548
workload_0b26f746416718fe91940966,0.95,16,floor,preload_all,6,6,0,1e-05,0.003,complete,0.841421720433535,-0.2512475997832307,0.9863389103690853
workload_0b26f746416718fe91940966,0.95,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.7952873666121653,-0.7772506678064411,0.9626256175264877
workload_0b5497c3f0d251a10ca52eeb,1.1,4,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9066059019628351,-0.23509552962753813,0.9682255497957214
workload_0b5497c3f0d251a10ca52eeb,1.1,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9677077085731615,0.7661922434074492,0.9876401762023891
workload_0b5497c3f0d251a10ca52eeb,1.1,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.7672250285353146,-1.0222521182155733,0.9814422610956796
workload_0be635806f92e3cc5c802308,1.1,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,1.0330025833852003,0.7851251384745604,0.9652734015059122
workload_0be635806f92e3cc5c802308,1.1,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9980923414754234,1.019164605367587,0.9934941290802578
workload_0be635806f92e3cc5c802308,1.1,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9629642257884103,0.5273823906183569,0.9884223349645462
workload_0c04c6f2b73f85ceb395cfde,0.5,4,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.3610492849545672,2.179917905995434,0.9481128298699308
workload_0c04c6f2b73f85ceb395cfde,0.5,4,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.123892064768835,1.2310470278739651,0.971277489783706
workload_0c04c6f2b73f85ceb395cfde,0.5,4,nearest,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,1.2130426807526877,1.5734316250686728,0.9951678585924458
workload_0c78cd859aae54dd964d23a2,1.25,4,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.0066057158953465,0.8206768864759366,0.9819381877112968
workload_0c78cd859aae54dd964d23a2,1.25,4,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0103337144354745,1.1675710189065793,0.99327123055594
workload_0c78cd859aae54dd964d23a2,1.25,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.056919164729989,1.3099515317390769,0.987163358322317
