analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_11d8a09cde926b190793468a,1.0,8,0.001,nearest,preload_all,30,5.066666666666645e-05,0.001871585748459953,0.0009086666666666667,0.00010666666666666667,0.125,3.533333333333397e-05,6.99999999999997e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_12112c35b5d1b597d0e0c6ca,0.95,8,0.03,ceiling,preload_all,30,0.0004893333333333324,0.04120437740999879,0.025310999999999997,0.002713,0.125,0.00038733333333333214,0.0005973333333333317,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_125cb85190cf41f0d161716c,0.5,1,0.003,nearest,preload_all,30,0.0006706666666666657,0.0032417778174907244,0.0019913333333333332,0.0010040000000000001,1.0,0.0006213333333333367,0.0007226666666666696,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_129bb0057b910905c3c1dee0,0.8,8,3e-05,floor,preload_all,30,2.6666666666667892e-06,7.411150383446416e-05,3.6666666666666666e-05,2.666666666666667e-06,0.125,0.0,7.333333333333729e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_13c8faac252d7f5cdc4137b8,1.25,1,0.0003,ceiling,preload_all,30,8.533333333332986e-05,0.00048187720477873,0.000176,0.000176,1.0,6.40000000000048e-05,0.00010933333333333915,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_14075627a3ffa0a3dd6d1826,0.95,4,0.0001,ceiling,preload_all,30,1.2666666666663606e-05,0.00015094097950008072,8.6e-05,2.2666666666666668e-05,0.25,7.3333333333304905e-06,1.866666666666313e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_142001b612f62dee3e5c6c39,0.8,16,0.03,nearest,preload_all,30,4.2000000000000025e-05,0.04948080755884161,0.026045333333333334,0.00016266666666666667,0.0625,2.933333333333338e-05,5.600000000000003e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_14452b862c27fdfd750fc4c0,0.8,4,0.0003,ceiling,preload_all,30,1.800000000000135e-05,0.00035566169792885664,0.00021666666666666666,4.2000000000000004e-05,0.25,1.1333333333333103e-05,2.600000000000102e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_14ba7bc032c0976a13614385,1.25,16,0.001,ceiling,preload_all,30,0.0005706666666666675,0.0018389139289177582,0.0010073333333333334,0.00020066666666666667,0.0625,0.0004326666666666682,0.0007233333333333323,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_156ed9cd12967cc01f775257,0.95,1,0.001,ceiling,preload_all,30,0.00023399999999999902,0.0012272437800178045,0.00045933333333333335,0.00045933333333333335,1.0,0.00019933333333333093,0.00027066666666665794,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_158b861230f11d3a10c6d7c1,1.1,16,0.01,ceiling,preload_all,30,0.0005373333333333351,0.016014959153242372,0.009614000000000001,0.0011506666666666668,0.0625,0.0004220000000000006,0.0006606666666666677,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_160fc8b3ff81036f9d2c1472,1.1,1,0.1,floor,preload_all,30,0.024926666666666663,0.18968859393948465,0.08990033333333333,0.045982666666666665,1.0,0.024658,0.025217350000000003,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_16c5bf6d3dddb941523a38e1,0.8,1,0.1,nearest,preload_all,30,0.02414266666666666,0.13414931350508805,0.066664,0.040626,1.0,0.023855333333333326,0.024422000000000003,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_16cff265d5a46f570b95eb61,0.95,1,1e-05,ceiling,preload_all,30,5.333333333334967e-06,1.3219968693126234e-05,5.333333333333334e-06,5.333333333333334e-06,1.0,1.3333333333346669e-06,1.000000000000445e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_176c3fc9668b58166193edd8,0.5,8,0.03,nearest,preload_all,30,3.06666666666667e-05,0.03680959348396382,0.022111666666666665,5.966666666666667e-05,0.125,2.266666666666666e-05,3.933333333333339e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1790184f0df70a71114686fb,0.5,1,0.003,floor,preload_all,30,0.0006633333333333324,0.004452238557858929,0.0029863333333333335,0.0009913333333333332,1.0,0.0006206666666666675,0.0007046666666666701,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_185c11f64c971d4183520f16,0.95,8,0.03,floor,preload_all,30,0.00046800000000000037,0.0683627104163953,0.029279999999999997,0.002434333333333333,0.125,0.00038333333333333324,0.0005586666666666675,mean of workload-paired AF/DF estimates,workload replication
