rho,capacity,delta,quantizer,policy,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_collision_rate,mean_critical_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
1.0,8,0.1,floor,random_order,1000,0.09381205,0.004045832554439023,0.9053555606062523,3.117901460009709,0.20230613061818056,0.00871535,0.00012794045903684494,0.09356128670028778,0.09406281329971221
1.1,4,0.01,floor,arrival_first,10,0.23686500000000002,0.003725814601458918,0.8387003407632692,1.5982843211152544,0.023230370033382203,0.002555,0.001178206028012269,0.23455571618509596,0.23917428381490408
1.1,4,0.01,floor,departure_first,10,0.236485,0.003933124994482408,0.839117598614262,1.6042791217527264,0.02321232158767947,0.002575,0.0012437633304701599,0.2340472238722785,0.2389227761277215
1.1,4,0.01,floor,random_order,1000,0.23665514999999998,0.003665720049455634,0.8389309460141943,1.6009406604733194,0.02321200651501241,0.0025697000000000003,0.00011592024620824878,0.2364279463174318,0.23688235368256816
1.1,4,0.1,floor,arrival_first,10,0.225035,0.0037511516750044767,0.8517031679736708,1.4705810167765503,0.20504923408734133,0.020450000000000003,0.0011862183141769852,0.22271001210421312,0.2273599878957869
1.1,4,0.1,floor,departure_first,10,0.220955,0.003983190374003676,0.8561894398816513,1.5113476196346058,0.20539015212061756,0.02215,0.0012595953935909557,0.21848619302856173,0.2234238069714383
1.1,4,0.1,floor,random_order,1000,0.22332634999999998,0.0038814190177164673,0.8535787245382896,1.4932481408300042,0.20536589210207026,0.021413599999999998,0.0001227412464947748,0.22308577715687022,0.22356692284312973
1.1,8,0.01,floor,arrival_first,10,0.15506999999999999,0.0053516975499991225,0.9267199962529326,3.958438931266587,0.023906640298336286,0.0015,0.0016923553606340072,0.15175298349315733,0.15838701650684264
1.1,8,0.01,floor,departure_first,10,0.15490500000000001,0.005110960444639219,0.9269020174799479,3.963390919848545,0.023973975635007017,0.00155,0.0016162276036086848,0.151737193896927,0.15807280610307303
1.1,8,0.01,floor,random_order,1000,0.1550383,0.004889637170758348,0.9267554654430432,3.961733302118143,0.02398686843911105,0.00153135,0.00015462390391418043,0.1547352371483282,0.15534136285167177
1.1,8,0.1,floor,arrival_first,10,0.13673,0.005216384443910033,0.9468369194271157,3.56071003255789,0.20946026584253535,0.012145,0.001649565599382655,0.13349685142520998,0.13996314857479
1.1,8,0.1,floor,departure_first,10,0.13552,0.0055909748702708375,0.948165766586297,3.6111857371578724,0.20929412927914576,0.0131,0.001768021493082027,0.13205467787355923,0.13898532212644077
1.1,8,0.1,floor,random_order,1000,0.1358552,0.00478632498550473,0.9477971374861192,3.5829273585630825,0.2097239194346801,0.012857150000000001,0.00015135688575967349,0.13555854050391106,0.13615185949608896
