rho,capacity,delta,quantizer,policy,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_collision_rate,mean_critical_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
0.8,4,0.001,floor,exact_within_tick,2,0.099,0.00989949493661166,0.7152557104405192,1.124409659600469,0.0019120458891013384,0.0,0.006999999999999996,0.08528000000000001,0.11272
0.8,4,0.001,floor,insertion_order,2,0.099,0.00989949493661166,0.7152557104405192,1.124409659600469,0.0019120458891013384,0.0,0.006999999999999996,0.08528000000000001,0.11272
0.8,4,0.01,floor,arrival_first,2,0.098,0.00989949493661166,0.7160495481294057,1.117715427967377,0.010105563017786152,0.002,0.006999999999999996,0.08428000000000001,0.11172
0.8,4,0.01,floor,departure_first,2,0.0965,0.007778174593052025,0.7172416611099266,1.1165648574879752,0.010099951113253066,0.002,0.005500000000000001,0.08572,0.10728
0.8,4,0.01,floor,exact_within_tick,2,0.0975,0.009192388155425111,0.7164469191229126,1.1194143817283506,0.010102755708676154,0.002,0.0064999999999999945,0.08476000000000002,0.11023999999999999
0.8,4,0.01,floor,insertion_order,2,0.098,0.00989949493661166,0.7160495481294057,1.117715427967377,0.010105563017786152,0.002,0.006999999999999996,0.08428000000000001,0.11172
1.1,1,0.001,floor,arrival_first,2,0.53,0.008485281374238578,0.5000834735832321,0.0,0.0,0.0,0.006000000000000005,0.51824,0.54176
1.1,1,0.001,floor,departure_first,2,0.53,0.008485281374238578,0.5000834735832321,0.0,0.0,0.0,0.006000000000000005,0.51824,0.54176
1.1,1,0.001,floor,exact_within_tick,2,0.53,0.008485281374238578,0.5000834735832321,0.0,0.0,0.0,0.006000000000000005,0.51824,0.54176
1.1,1,0.001,floor,insertion_order,2,0.53,0.008485281374238578,0.5000834735832321,0.0,0.0,0.0,0.006000000000000005,0.51824,0.54176
1.1,1,0.01,floor,arrival_first,2,0.5295000000000001,0.009192388155425165,0.5006045348616935,0.0,0.009827347148093982,0.004,0.006500000000000033,0.51676,0.5422400000000002
1.1,1,0.01,floor,departure_first,2,0.528,0.01131370849898477,0.502164418806328,0.0,0.009801081224377728,0.004,0.008000000000000007,0.51232,0.54368
1.1,1,0.01,floor,exact_within_tick,2,0.529,0.009899494936611674,0.5011244961765717,0.0,0.009816821465428277,0.004,0.007000000000000005,0.51528,0.5427200000000001
1.1,1,0.01,floor,insertion_order,2,0.5295000000000001,0.009192388155425087,0.5006045348616935,0.0,0.009827347148093982,0.004,0.006499999999999978,0.5167600000000001,0.54224
1.1,4,0.001,floor,arrival_first,2,0.20400000000000001,0.014142135623730933,0.8403282459959334,1.4607452597882298,0.0010193746121167895,0.0,0.009999999999999986,0.18440000000000004,0.2236
1.1,4,0.001,floor,departure_first,2,0.20400000000000001,0.014142135623730933,0.8403282459959334,1.4607452597882298,0.0010193746121167895,0.0,0.009999999999999986,0.18440000000000004,0.2236
1.1,4,0.001,floor,exact_within_tick,2,0.20400000000000001,0.014142135623730933,0.8403282459959334,1.4607452597882298,0.0010193746121167895,0.0,0.009999999999999986,0.18440000000000004,0.2236
1.1,4,0.001,floor,insertion_order,2,0.20400000000000001,0.014142135623730954,0.8403282459959334,1.4607452597882298,0.0010193746121167895,0.0,0.010000000000000002,0.1844,0.22360000000000002
1.1,4,0.01,floor,arrival_first,2,0.20800000000000002,0.01555634918610403,0.8360785025315365,1.475407100135055,0.017333764440038653,0.002,0.010999999999999989,0.18644000000000005,0.22956
1.1,4,0.01,floor,departure_first,2,0.20800000000000002,0.01555634918610405,0.8360785025315365,1.4793912791819392,0.018353397642393868,0.002,0.011000000000000003,0.18644000000000002,0.22956000000000001
1.1,4,0.01,floor,exact_within_tick,2,0.20800000000000002,0.01555634918610403,0.8360785025315365,1.478687667724903,0.018353397642393868,0.002,0.010999999999999989,0.18644000000000005,0.22956
1.1,4,0.01,floor,insertion_order,2,0.20800000000000002,0.01555634918610403,0.8360785025315365,1.475407100135055,0.017333764440038653,0.002,0.010999999999999989,0.18644000000000005,0.22956
