quantizer,rho,capacity,delta,policy,arrival_quantization_error_signed_mean,arrival_quantization_error_absolute_mean,arrival_quantization_error_median,arrival_quantization_error_p05,arrival_quantization_error_p95,arrival_quantization_error_minimum,arrival_quantization_error_maximum,arrival_quantization_error_zero_fraction,arrival_quantization_error_shortened_fraction,arrival_quantization_error_lengthened_fraction,arrival_quantization_error_accumulated_signed_error,service_quantization_error_signed_mean,service_quantization_error_absolute_mean,service_quantization_error_median,service_quantization_error_p05,service_quantization_error_p95,service_quantization_error_minimum,service_quantization_error_maximum,service_quantization_error_zero_fraction,service_quantization_error_shortened_fraction,service_quantization_error_lengthened_fraction,service_quantization_error_accumulated_signed_error
ceiling,0.5,4,3e-05,arrival_first,1.5000462390910493e-05,1.5000462390910493e-05,1.5005041313997936e-05,1.5073584624284804e-06,2.8502890275679718e-05,7.42632740487655e-10,2.9999520787290142e-05,0.0,0.0,1.0,0.7500231195455247,1.4996566129856703e-05,1.4996566129856703e-05,1.5004248678221245e-05,1.4995076527780697e-06,2.849294418024964e-05,6.535063675390991e-10,2.9999020941635895e-05,0.0,0.0,1.0,0.7255614201913322
ceiling,0.5,4,3e-05,departure_first,1.5000462390910493e-05,1.5000462390910493e-05,1.5005041313997936e-05,1.5073584624284804e-06,2.8502890275679718e-05,7.42632740487655e-10,2.9999520787290142e-05,0.0,0.0,1.0,0.7500231195455247,1.4996566129856703e-05,1.4996566129856703e-05,1.5004248678221245e-05,1.4995076527780697e-06,2.849294418024964e-05,6.535063675390991e-10,2.9999020941635895e-05,0.0,0.0,1.0,0.7255614201913322
ceiling,0.5,4,3e-05,insertion_order,1.5000462390910493e-05,1.5000462390910493e-05,1.5005041313997936e-05,1.5073584624284804e-06,2.8502890275679718e-05,7.42632740487655e-10,2.9999520787290142e-05,0.0,0.0,1.0,0.7500231195455247,1.4996566129856703e-05,1.4996566129856703e-05,1.5004248678221245e-05,1.4995076527780697e-06,2.849294418024964e-05,6.535063675390991e-10,2.9999020941635895e-05,0.0,0.0,1.0,0.7255614201913322
ceiling,0.5,4,0.0001,arrival_first,5.0030010412540534e-05,5.0030010412540534e-05,5.0037685681066554e-05,4.9795184319615755e-06,9.50216357038395e-05,2.607339411042631e-09,9.999785931237662e-05,0.0,0.0,1.0,2.5015005206270264,5.0003149360588874e-05,5.0003149360588874e-05,4.998762695191208e-05,5.018153886414308e-06,9.498477141477799e-05,1.857235093956818e-09,9.99973821569507e-05,0.0,0.0,1.0,2.4192288659527805
ceiling,0.5,4,0.0001,departure_first,5.0030010412540534e-05,5.0030010412540534e-05,5.0037685681066554e-05,4.9795184319615755e-06,9.50216357038395e-05,2.607339411042631e-09,9.999785931237662e-05,0.0,0.0,1.0,2.5015005206270264,5.0003055838668896e-05,5.0003055838668896e-05,4.998731561400402e-05,5.018159774599916e-06,9.498475729358923e-05,1.857235093956818e-09,9.99973821569507e-05,0.0,0.0,1.0,2.419234320503533
ceiling,0.5,4,0.0001,insertion_order,5.0030010412540534e-05,5.0030010412540534e-05,5.0037685681066554e-05,4.9795184319615755e-06,9.50216357038395e-05,2.607339411042631e-09,9.999785931237662e-05,0.0,0.0,1.0,2.5015005206270264,5.0003149360588874e-05,5.0003149360588874e-05,4.998762695191208e-05,5.018153886414308e-06,9.498477141477799e-05,1.857235093956818e-09,9.99973821569507e-05,0.0,0.0,1.0,2.4192288659527805
ceiling,0.5,4,0.0003,arrival_first,0.0001500975356147598,0.0001500975356147598,0.00015025736144404315,1.5105689384048069e-05,0.0002850058677449851,6.214395398274064e-09,0.0002999931847928868,0.0,0.0,1.0,7.504876780737989,0.00014988612641444817,0.00014988612641444817,0.00014972290607316284,1.4991094233168168e-05,0.00028495786025687877,6.43085125706655e-09,0.00029999392079414197,0.0,0.0,1.0,7.251647674030084
ceiling,0.5,4,0.0003,departure_first,0.0001500975356147598,0.0001500975356147598,0.00015025736144404315,1.5105689384048069e-05,0.0002850058677449851,6.214395398274064e-09,0.0002999931847928868,0.0,0.0,1.0,7.504876780737989,0.00014988615938321104,0.00014988615938321104,0.0001497230231365525,1.4991190627234874e-05,0.0002849579230026952,6.43085125706655e-09,0.00029999392079414197,0.0,0.0,1.0,7.251709119994813
ceiling,0.5,4,0.0003,insertion_order,0.0001500975356147598,0.0001500975356147598,0.00015025736144404315,1.5105689384048069e-05,0.0002850058677449851,6.214395398274064e-09,0.0002999931847928868,0.0,0.0,1.0,7.504876780737989,0.00014988612641444817,0.00014988612641444817,0.00014972290607316284,1.4991094233168168e-05,0.00028495786025687877,6.43085125706655e-09,0.00029999392079414197,0.0,0.0,1.0,7.251647674030084
ceiling,0.5,4,0.001,arrival_first,0.0004998840754583568,0.0004998840754583568,0.00049995686361702,4.9982737039802796e-05,0.0009496107812628907,1.6045426794638238e-08,0.0009999780289338862,0.0,0.0,1.0,24.99420377291784,0.0005004052603277181,0.0005004052603277181,0.0005008811070850386,5.005187526802862e-05,0.0009501042655275186,1.9776058270195665e-08,0.0009999807154867728,0.0,0.0,1.0,24.20958127048961
