rho,capacity,quantizer,arrival_scheduling_mode,n_workloads,mean_slope,sd_slope,median_slope,q25_slope,q75_slope,iqr_slope,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_unit,aggregation
1.0,8,nearest,preload_all,30,0.9883980219950904,0.09635009398508051,0.982720545802323,0.9416049588405915,1.0182302897562003,0.07662533091560886,0.9552676229048247,1.0230598135438538,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,16,ceiling,preload_all,30,0.9262396930868589,0.11141412896255294,0.9323792211131344,0.8498334126279323,0.9874767152241933,0.137643302596261,0.8877060095335398,0.9665273900354009,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,16,floor,preload_all,30,0.962869786867454,0.10700488425004191,0.9628676353275201,0.8765276425845235,1.0330660541744607,0.1565384115899372,0.9259782210031835,1.0009344998380245,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.0,16,nearest,preload_all,30,0.9778913944437634,0.10156010632528505,0.9800637320269066,0.9130796757087754,1.0419781459680215,0.12889847025924617,0.9426828701327561,1.0130882357773288,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,1,ceiling,preload_all,30,0.9928814184198463,0.13081188105806385,0.9886677922469671,0.9102647506201793,1.0836710724610497,0.17340632184087035,0.9470378243228258,1.039265323343027,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,1,floor,preload_all,30,0.9791063264752428,0.12636200743886897,0.9898235119176875,0.8775914027491927,1.0401925546726187,0.16260115192342606,0.9363572400901584,1.0249435709706547,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,1,nearest,preload_all,30,0.9942539032283145,0.12454059254278317,0.9801155124560723,0.9319369283168554,1.04409852777217,0.11216159945531456,0.9527808056067162,1.0388471891344286,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,4,ceiling,preload_all,30,0.9870896251885556,0.10282835616770147,0.9571402265539848,0.9156917455124569,1.0869666635061224,0.17127491799366545,0.9519956873821651,1.0242561949702766,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,4,floor,preload_all,30,1.0073802355376436,0.10053136411717756,1.0010877767828903,0.9315399464239009,1.068022139201658,0.13648219277775708,0.9728090407426013,1.0430218720915907,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,4,nearest,preload_all,30,0.9751812704429537,0.11697182857382665,0.9710000511347933,0.9214981665526236,1.0522929077137717,0.1307947411611481,0.9338897601732878,1.0170701620288771,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,8,ceiling,preload_all,30,0.9518859645862443,0.10620672308190798,0.9526762980533818,0.8716320447573305,1.0228428641225578,0.1512108193652273,0.9143559248917782,0.9897577668030095,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
