rho,capacity,delta,quantizer,preload_all_absolute_policy_gap,preload_all_critical_collision_rate,preload_all_total_collision_rate,schedule_next_after_transition_absolute_policy_gap,schedule_next_after_transition_critical_collision_rate,schedule_next_after_transition_total_collision_rate,robustness_difference_absolute_policy_gap,robustness_difference_critical_collision_rate,robustness_difference_total_collision_rate,comparison_label
0.8,4,0.1,ceiling,0.0035559999999999984,0.012585666666666667,0.11083766918060649,0.0035559999999999984,0.011948333333333333,0.11083766918060649,0.0,-0.0006373333333333335,0.0,robustness only; not primary observations
1.1,8,0.001,floor,0.00011466666666666662,0.00017033333333333334,0.002522130620455228,0.00011466666666666662,0.00017033333333333334,0.002522130620455228,0.0,0.0,0.0,robustness only; not primary observations
0.5,8,0.01,ceiling,9.333333333333322e-06,2e-05,0.007434412732477327,9.333333333333322e-06,2e-05,0.007434412732477327,0.0,0.0,0.0,robustness only; not primary observations
0.8,4,0.0003,floor,1.5333333333333866e-05,3.6e-05,0.0006278588416615909,1.5333333333333866e-05,3.6e-05,0.0006278588416615909,0.0,0.0,0.0,robustness only; not primary observations
0.95,8,0.001,floor,4.399999999999959e-05,9.133333333333334e-05,0.0023539958197262337,4.399999999999959e-05,9.066666666666667e-05,0.0023539958197262337,0.0,-6.666666666666648e-07,0.0,robustness only; not primary observations
1.1,1,0.01,nearest,0.0024933333333333326,0.005134333333333334,0.01763789388574992,0.0024933333333333326,0.005134333333333334,0.01763789388574992,0.0,0.0,0.0,robustness only; not primary observations
0.95,16,0.03,nearest,0.00019800000000000002,0.0010846666666666667,0.055262635896790334,0.00019800000000000002,0.0010676666666666669,0.055262635896790334,0.0,-1.699999999999987e-05,0.0,robustness only; not primary observations
0.5,1,1e-05,ceiling,6.666666666673334e-07,1.3333333333333334e-06,4.000205426872288e-06,6.666666666673334e-07,1.3333333333333334e-06,4.000205426872288e-06,0.0,0.0,0.0,robustness only; not primary observations
0.95,8,3e-05,floor,2.0000000000006123e-06,1.3333333333333334e-06,5.86223085610996e-05,2.0000000000006123e-06,1.3333333333333334e-06,5.86223085610996e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,4,0.001,floor,8.400000000000352e-05,0.00022600000000000002,0.0023999790094485873,8.400000000000352e-05,0.00022600000000000002,0.0023999790094485873,0.0,0.0,0.0,robustness only; not primary observations
1.1,16,0.0001,floor,1.7333333333332628e-05,7.333333333333334e-06,0.00026514625929717516,1.7333333333332628e-05,7.333333333333334e-06,0.00026514625929717516,0.0,0.0,0.0,robustness only; not primary observations
1.0,4,3e-05,ceiling,2.666666666666558e-06,4.666666666666667e-06,4.514047696795911e-05,2.666666666666558e-06,4.666666666666667e-06,4.514047696795911e-05,0.0,0.0,0.0,robustness only; not primary observations
1.25,8,0.003,nearest,0.0002926666666666707,0.0006973333333333333,0.0066521204592904365,0.0002926666666666707,0.0006966666666666667,0.0066521204592904365,0.0,-6.666666666666106e-07,0.0,robustness only; not primary observations
1.25,8,0.01,nearest,0.0006180000000000009,0.0023226666666666665,0.022124254683418842,0.0006180000000000009,0.002309666666666667,0.022124254683418842,0.0,-1.2999999999999557e-05,0.0,robustness only; not primary observations
1.25,16,3e-05,ceiling,6.333333333333191e-05,8e-06,6.0911232995352816e-05,6.333333333333191e-05,8.000000000000001e-06,6.0911232995352816e-05,0.0,1.6940658945086007e-21,0.0,robustness only; not primary observations
1.0,4,0.0001,floor,7.333333333335116e-06,1.4e-05,0.00025919309218422874,7.333333333335116e-06,1.4e-05,0.00025919309218422874,0.0,0.0,0.0,robustness only; not primary observations
0.8,8,0.03,floor,0.00024799999999999985,0.0010486666666666667,0.06302251885702026,0.00024799999999999985,0.0010306666666666667,0.06302251885702026,0.0,-1.8000000000000004e-05,0.0,robustness only; not primary observations
1.0,16,0.03,ceiling,0.0002826666666666686,0.0020136666666666666,0.04367093927279123,0.0002826666666666686,0.0019863333333333334,0.04367093927279123,0.0,-2.7333333333333203e-05,0.0,robustness only; not primary observations
1.0,4,0.03,ceiling,0.0012726666666666626,0.0060353333333333335,0.04262625491689842,0.0012726666666666626,0.005946000000000001,0.04262625491689842,0.0,-8.933333333333276e-05,0.0,robustness only; not primary observations
1.25,8,0.03,nearest,0.000804000000000002,0.006853333333333334,0.06502287679119421,0.000804000000000002,0.006752666666666667,0.06502287679119421,0.0,-0.00010066666666666644,0.0,robustness only; not primary observations
0.8,1,0.0003,ceiling,7.1999999999998e-05,0.00011866666666666667,0.00028119506377765165,7.1999999999998e-05,0.00011866666666666667,0.00028119506377765165,0.0,0.0,0.0,robustness only; not primary observations
1.25,4,0.03,ceiling,0.0011119999999999982,0.008979333333333334,0.05155381992078412,0.0011119999999999982,0.008846333333333335,0.05155381992078412,0.0,-0.00013299999999999944,0.0,robustness only; not primary observations
1.1,8,1e-05,ceiling,2.00000000000015e-06,2.0000000000000003e-06,2.1695905864327683e-05,2.00000000000015e-06,2.0000000000000003e-06,2.1695905864327683e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,4,0.0001,nearest,2.666666666666558e-05,3.4e-05,0.0001984301091397441,2.666666666666558e-05,3.4e-05,0.0001984301091397441,0.0,0.0,0.0,robustness only; not primary observations
0.8,1,0.03,floor,0.007545333333333332,0.012801,0.05252832911725962,0.007545333333333332,0.012801,0.05252832911725962,0.0,0.0,0.0,robustness only; not primary observations
1.0,8,0.001,nearest,5.066666666666645e-05,0.00010666666666666667,0.001871585748459953,5.066666666666645e-05,0.00010666666666666667,0.001871585748459953,0.0,0.0,0.0,robustness only; not primary observations
0.95,8,0.03,ceiling,0.0004893333333333324,0.002713,0.04120437740999879,0.0004893333333333324,0.0026653333333333334,0.04120437740999879,0.0,-4.766666666666678e-05,0.0,robustness only; not primary observations
0.5,1,0.003,nearest,0.0006706666666666657,0.0010040000000000001,0.0032417778174907244,0.0006706666666666657,0.0010040000000000001,0.0032417778174907244,0.0,0.0,0.0,robustness only; not primary observations
0.8,8,3e-05,floor,2.6666666666667892e-06,2.666666666666667e-06,7.411150383446416e-05,2.6666666666667892e-06,2.666666666666667e-06,7.411150383446416e-05,0.0,0.0,0.0,robustness only; not primary observations
1.25,1,0.0003,ceiling,8.533333333332986e-05,0.000176,0.00048187720477873,8.533333333332986e-05,0.000176,0.00048187720477873,0.0,0.0,0.0,robustness only; not primary observations
0.95,4,0.0001,ceiling,1.2666666666663606e-05,2.2666666666666668e-05,0.00015094097950008072,1.2666666666663606e-05,2.2666666666666668e-05,0.00015094097950008072,0.0,0.0,0.0,robustness only; not primary observations
0.8,16,0.03,nearest,4.2000000000000025e-05,0.00016266666666666667,0.04948080755884161,4.2000000000000025e-05,0.00016,0.04948080755884161,0.0,-2.666666666666659e-06,0.0,robustness only; not primary observations
0.8,4,0.0003,ceiling,1.800000000000135e-05,4.2000000000000004e-05,0.00035566169792885664,1.800000000000135e-05,4.2000000000000004e-05,0.00035566169792885664,0.0,0.0,0.0,robustness only; not primary observations
1.25,16,0.001,ceiling,0.0005706666666666675,0.00020066666666666667,0.0018389139289177582,0.0005706666666666675,0.00020066666666666667,0.0018389139289177582,0.0,0.0,0.0,robustness only; not primary observations
0.95,1,0.001,ceiling,0.00023399999999999902,0.00045933333333333335,0.0012272437800178045,0.00023399999999999902,0.00045933333333333335,0.0012272437800178045,0.0,0.0,0.0,robustness only; not primary observations
1.1,16,0.01,ceiling,0.0005373333333333351,0.0011506666666666668,0.016014959153242372,0.0005373333333333351,0.0011426666666666666,0.016014959153242372,0.0,-8.000000000000194e-06,0.0,robustness only; not primary observations
1.1,1,0.1,floor,0.024926666666666663,0.045982666666666665,0.18968859393948465,0.024926666666666663,0.045982666666666665,0.18968859393948465,0.0,0.0,0.0,robustness only; not primary observations
0.8,1,0.1,nearest,0.02414266666666666,0.040626,0.13414931350508805,0.02414266666666666,0.040626,0.13414931350508805,0.0,0.0,0.0,robustness only; not primary observations
0.95,1,1e-05,ceiling,5.333333333334967e-06,5.333333333333334e-06,1.3219968693126234e-05,5.333333333334967e-06,5.333333333333334e-06,1.3219968693126234e-05,0.0,0.0,0.0,robustness only; not primary observations
0.5,8,0.03,nearest,3.06666666666667e-05,5.966666666666667e-05,0.03680959348396382,3.06666666666667e-05,5.966666666666667e-05,0.03680959348396382,0.0,0.0,0.0,robustness only; not primary observations
0.5,1,0.003,floor,0.0006633333333333324,0.0009913333333333332,0.004452238557858929,0.0006633333333333324,0.0009913333333333332,0.004452238557858929,0.0,0.0,0.0,robustness only; not primary observations
0.95,8,0.03,floor,0.00046800000000000037,0.002434333333333333,0.0683627104163953,0.00046800000000000037,0.0023993333333333336,0.0683627104163953,0.0,-3.499999999999944e-05,0.0,robustness only; not primary observations
0.95,1,3e-05,floor,8.666666666666082e-06,9.333333333333334e-06,5.905010653074944e-05,8.666666666666082e-06,9.333333333333334e-06,5.905010653074944e-05,0.0,0.0,0.0,robustness only; not primary observations
1.25,4,0.001,nearest,0.000129333333333335,0.00028900000000000003,0.002160681042121756,0.000129333333333335,0.00028900000000000003,0.002160681042121756,0.0,0.0,0.0,robustness only; not primary observations
1.25,16,0.003,nearest,0.0008319999999999976,0.0006253333333333333,0.006797128090615823,0.0008319999999999976,0.000624,0.006797128090615823,0.0,-1.3333333333333296e-06,0.0,robustness only; not primary observations
1.0,4,1e-05,ceiling,1.3333333333328165e-06,2.0000000000000003e-06,1.480825461261339e-05,1.3333333333328165e-06,2.0000000000000003e-06,1.480825461261339e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,1,0.001,nearest,0.00025533333333332964,0.0005146666666666666,0.0018388916924851988,0.00025533333333332964,0.0005146666666666666,0.0018388916924851988,0.0,0.0,0.0,robustness only; not primary observations
0.5,8,0.0001,floor,0.0,6.666666666666667e-07,0.00018684648520040102,0.0,6.666666666666667e-07,0.00018684648520040102,0.0,0.0,0.0,robustness only; not primary observations
1.0,16,0.1,floor,0.00038533333333333334,0.0038416666666666664,0.2163617955870289,0.00038533333333333334,0.003663333333333333,0.2163617955870289,0.0,-0.0001783333333333333,0.0,robustness only; not primary observations
1.25,1,0.03,nearest,0.007280666666666661,0.016094,0.05641976028555416,0.007280666666666661,0.016094,0.05641976028555416,0.0,0.0,0.0,robustness only; not primary observations
1.25,16,3e-05,floor,2.4666666666668207e-05,5.333333333333334e-06,9.35393197536871e-05,2.4666666666668207e-05,5.333333333333334e-06,9.35393197536871e-05,0.0,0.0,0.0,robustness only; not primary observations
0.95,1,0.03,nearest,0.007429999999999997,0.014234333333333333,0.04693550781819862,0.007429999999999997,0.014234333333333333,0.04693550781819862,0.0,0.0,0.0,robustness only; not primary observations
1.25,8,0.1,nearest,0.0010420000000000004,0.021798333333333333,0.20000485100092058,0.0010420000000000004,0.020732666666666667,0.20000485100092058,0.0,-0.0010656666666666662,0.0,robustness only; not primary observations
0.5,16,0.01,floor,0.0,0.0,0.017408100907310316,0.0,0.0,0.017408100907310316,0.0,0.0,0.0,robustness only; not primary observations
1.0,4,3e-05,floor,4.666666666667633e-06,7.333333333333334e-06,7.625581056290443e-05,4.666666666667633e-06,7.333333333333335e-06,7.625581056290443e-05,0.0,8.470329472543003e-22,0.0,robustness only; not primary observations
1.25,4,0.1,nearest,0.003751999999999994,0.028033333333333334,0.1958116154310219,0.003751999999999994,0.026673,0.1958116154310219,0.0,-0.001360333333333335,0.0,robustness only; not primary observations
1.0,16,0.001,ceiling,3.800000000000007e-05,5.333333333333333e-05,0.0014706417425512388,3.800000000000007e-05,5.333333333333333e-05,0.0014706417425512388,0.0,0.0,0.0,robustness only; not primary observations
1.1,1,0.001,floor,0.0002566666666666643,0.000514,0.0021679744769790028,0.0002566666666666643,0.000514,0.0021679744769790028,0.0,0.0,0.0,robustness only; not primary observations
0.8,16,1e-05,ceiling,0.0,0.0,1.938992272763292e-05,0.0,0.0,1.938992272763292e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,4,3e-05,nearest,1.1333333333333566e-05,1e-05,6.208308561766826e-05,1.1333333333333566e-05,1e-05,6.208308561766826e-05,0.0,0.0,0.0,robustness only; not primary observations
1.0,16,0.03,floor,0.00038533333333333334,0.0015796666666666667,0.07059724894671177,0.00038533333333333334,0.0015513333333333332,0.07059724894671177,0.0,-2.8333333333333552e-05,0.0,robustness only; not primary observations
1.1,4,3e-05,floor,5.999999999999524e-06,8.666666666666668e-06,7.345429904026365e-05,5.999999999999524e-06,8.666666666666668e-06,7.345429904026365e-05,0.0,0.0,0.0,robustness only; not primary observations
0.5,16,0.003,nearest,0.0,0.0,0.0037673568809166043,0.0,0.0,0.0037673568809166043,0.0,0.0,0.0,robustness only; not primary observations
1.0,8,0.003,floor,0.00010866666666666756,0.000353,0.007181387987440893,0.00010866666666666756,0.0003523333333333333,0.007181387987440893,0.0,-6.66666666666719e-07,0.0,robustness only; not primary observations
1.0,1,0.003,nearest,0.0007793333333333319,0.0015283333333333334,0.005000651025284716,0.0007793333333333319,0.0015283333333333334,0.005000651025284716,0.0,0.0,0.0,robustness only; not primary observations
0.5,8,0.03,ceiling,2.8666666666666685e-05,6.233333333333334e-05,0.022243251996089872,2.8666666666666685e-05,6.1e-05,0.022243251996089872,0.0,-1.3333333333333364e-06,0.0,robustness only; not primary observations
0.5,4,0.0003,floor,3.3333333333331974e-06,7.333333333333335e-06,0.0004906136569002634,3.3333333333331974e-06,7.333333333333334e-06,0.0004906136569002634,0.0,-8.470329472543003e-22,0.0,robustness only; not primary observations
1.0,8,0.0003,nearest,2.866666666666527e-05,2.8e-05,0.0005372540909269952,2.866666666666527e-05,2.8e-05,0.0005372540909269952,0.0,0.0,0.0,robustness only; not primary observations
1.25,16,0.1,ceiling,0.0011473333333333307,0.022644,0.16481368752180878,0.0011473333333333307,0.021537666666666667,0.16481368752180878,0.0,-0.0011063333333333342,0.0,robustness only; not primary observations
0.5,1,0.001,ceiling,0.00021533333333333403,0.0003153333333333333,0.0006538622967748012,0.00021533333333333403,0.0003153333333333333,0.0006538622967748012,0.0,0.0,0.0,robustness only; not primary observations
0.5,16,3e-05,floor,0.0,0.0,5.200040001106683e-05,0.0,0.0,5.200040001106683e-05,0.0,0.0,0.0,robustness only; not primary observations
0.95,16,0.03,ceiling,0.00024866666666666646,0.0012763333333333333,0.04163923657815954,0.00024866666666666646,0.00126,0.04163923657815954,0.0,-1.633333333333326e-05,0.0,robustness only; not primary observations
0.95,16,0.03,floor,0.00018933333333333405,0.0009873333333333333,0.06885838739004374,0.00018933333333333405,0.0009676666666666667,0.06885838739004374,0.0,-1.966666666666664e-05,0.0,robustness only; not primary observations
1.25,4,0.003,nearest,0.00018999999999999944,0.0008706666666666667,0.006552094114898607,0.00018999999999999944,0.0008693333333333333,0.006552094114898607,0.0,-1.333333333333438e-06,0.0,robustness only; not primary observations
0.95,4,0.03,nearest,0.0011653333333333348,0.005268333333333333,0.05335456655393704,0.0011653333333333348,0.005194000000000001,0.05335456655393704,0.0,-7.43333333333325e-05,0.0,robustness only; not primary observations
0.8,4,3e-05,floor,1.333333333333279e-06,3.3333333333333333e-06,5.5362632514528875e-05,1.333333333333279e-06,3.3333333333333333e-06,5.5362632514528875e-05,0.0,0.0,0.0,robustness only; not primary observations
0.5,16,0.001,ceiling,0.0,0.0,0.0007396706768388336,0.0,0.0,0.0007396706768388336,0.0,0.0,0.0,robustness only; not primary observations
0.95,4,3e-05,nearest,6.666666666664083e-07,2.0000000000000003e-06,4.688292960474216e-05,6.666666666664083e-07,2.0000000000000003e-06,4.688292960474216e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,4,0.01,floor,0.000414666666666665,0.0024063333333333337,0.024172693899752785,0.000414666666666665,0.0023933333333333333,0.024172693899752785,0.0,-1.3000000000000424e-05,0.0,robustness only; not primary observations
0.95,1,0.1,floor,0.024864666666666663,0.042953000000000005,0.17697602276356633,0.024864666666666663,0.042953000000000005,0.17697602276356633,0.0,0.0,0.0,robustness only; not primary observations
0.5,8,0.03,floor,2.999999999999999e-05,5.366666666666667e-05,0.05090899853065145,2.999999999999999e-05,5.233333333333334e-05,0.05090899853065145,0.0,-1.3333333333333296e-06,0.0,robustness only; not primary observations
1.0,8,0.1,ceiling,0.0012006666666666628,0.012570666666666667,0.13749640103921326,0.0012006666666666628,0.011988333333333332,0.13749640103921326,0.0,-0.0005823333333333357,0.0,robustness only; not primary observations
1.1,16,0.0001,nearest,2.3999999999999946e-05,1.2e-05,0.00022067395491338988,2.3999999999999946e-05,1.2e-05,0.00022067395491338988,0.0,0.0,0.0,robustness only; not primary observations
0.95,16,1e-05,nearest,1.3333333333335102e-06,6.666666666666667e-07,1.7659051937855277e-05,1.3333333333335102e-06,6.666666666666667e-07,1.7659051937855277e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,8,3e-05,nearest,7.999999999997824e-06,6e-06,6.437840594239527e-05,7.999999999997824e-06,6e-06,6.437840594239527e-05,0.0,0.0,0.0,robustness only; not primary observations
0.8,1,3e-05,nearest,6.666666666662232e-06,9.333333333333334e-06,3.857096880415462e-05,6.666666666662232e-06,9.333333333333334e-06,3.857096880415462e-05,0.0,0.0,0.0,robustness only; not primary observations
1.0,4,0.1,nearest,0.003799333333333331,0.019126666666666667,0.17202428858462093,0.003799333333333331,0.018213333333333335,0.17202428858462093,0.0,-0.000913333333333332,0.0,robustness only; not primary observations
1.0,8,0.0003,ceiling,3.599999999999946e-05,3.3333333333333335e-05,0.00040844721186253944,3.599999999999946e-05,3.3333333333333335e-05,0.00040844721186253944,0.0,0.0,0.0,robustness only; not primary observations
0.8,8,0.0001,nearest,6.666666666666395e-07,2.0000000000000003e-06,0.000167253974582186,6.666666666666395e-07,2.0000000000000003e-06,0.000167253974582186,0.0,0.0,0.0,robustness only; not primary observations
1.25,8,0.0001,floor,3.466666666666433e-05,2e-05,0.0002635537077123469,3.466666666666433e-05,2e-05,0.0002635537077123469,0.0,0.0,0.0,robustness only; not primary observations
1.1,4,0.1,floor,0.004359999999999995,0.021317,0.21573093867381346,0.004359999999999995,0.020290333333333334,0.21573093867381346,0.0,-0.0010266666666666653,0.0,robustness only; not primary observations
1.25,16,0.0003,ceiling,0.0002873333333333385,5.966666666666667e-05,0.0005702151436448772,0.0002873333333333385,5.966666666666667e-05,0.0005702151436448772,0.0,0.0,0.0,robustness only; not primary observations
1.1,16,0.01,floor,0.0004980000000000003,0.0010946666666666667,0.025378203593641194,0.0004980000000000003,0.001089,0.025378203593641194,0.0,-5.6666666666668405e-06,0.0,robustness only; not primary observations
1.1,4,1e-05,nearest,1.3333333333337417e-06,2.0000000000000003e-06,2.5734768501790492e-05,1.3333333333337417e-06,2.0000000000000003e-06,2.5734768501790492e-05,0.0,0.0,0.0,robustness only; not primary observations
0.5,1,0.03,ceiling,0.006727999999999995,0.009990666666666667,0.020889119373383797,0.006727999999999995,0.009990666666666667,0.020889119373383797,0.0,0.0,0.0,robustness only; not primary observations
1.0,8,0.03,floor,0.0004680000000000013,0.0031676666666666667,0.06972287576019373,0.0004680000000000013,0.003134,0.06972287576019373,0.0,-3.3666666666666654e-05,0.0,robustness only; not primary observations
0.8,16,0.001,ceiling,1.999999999999976e-06,4.000000000000001e-06,0.001158830148905079,1.999999999999976e-06,4.000000000000001e-06,0.001158830148905079,0.0,0.0,0.0,robustness only; not primary observations
1.1,8,0.0001,nearest,1.933333333333509e-05,1.6666666666666667e-05,0.0002069591416553722,1.933333333333509e-05,1.6666666666666667e-05,0.0002069591416553722,0.0,0.0,0.0,robustness only; not primary observations
1.25,8,0.001,floor,0.0001766666666666657,0.0002536666666666667,0.002759309246712424,0.0001766666666666657,0.0002536666666666667,0.002759309246712424,0.0,0.0,0.0,robustness only; not primary observations
1.0,8,1e-05,ceiling,6.666666666664083e-07,1.3333333333333334e-06,1.4113923830037042e-05,6.666666666664083e-07,1.3333333333333334e-06,1.4113923830037042e-05,0.0,0.0,0.0,robustness only; not primary observations
1.25,1,0.001,ceiling,0.00024999999999999095,0.0005383333333333334,0.0015684574738457553,0.00024999999999999095,0.0005383333333333334,0.0015684574738457553,0.0,0.0,0.0,robustness only; not primary observations
1.1,1,1e-05,floor,4.0000000000003e-06,6.666666666666667e-06,2.8910304801025378e-05,4.0000000000003e-06,6.666666666666667e-06,2.8910304801025378e-05,0.0,0.0,0.0,robustness only; not primary observations
0.95,1,0.003,ceiling,0.0006973333333333405,0.0014103333333333333,0.003691934473100103,0.0006973333333333405,0.0014103333333333333,0.003691934473100103,0.0,0.0,0.0,robustness only; not primary observations
0.8,1,0.01,nearest,0.0024040000000000042,0.004404000000000001,0.014200719278571706,0.0024040000000000042,0.004404000000000001,0.014200719278571706,0.0,0.0,0.0,robustness only; not primary observations
1.1,8,3e-05,ceiling,8.666666666667007e-06,6.666666666666667e-06,5.21209640785043e-05,8.666666666667007e-06,6.666666666666667e-06,5.21209640785043e-05,0.0,0.0,0.0,robustness only; not primary observations
0.95,4,0.0003,floor,3.0666666666664026e-05,5.6e-05,0.000696730536626442,3.0666666666664026e-05,5.6e-05,0.000696730536626442,0.0,0.0,0.0,robustness only; not primary observations
0.5,4,0.01,ceiling,0.00015799999999999959,0.00031033333333333336,0.0073797206463676775,0.00015799999999999959,0.00030900000000000003,0.0073797206463676775,0.0,-1.3333333333333296e-06,0.0,robustness only; not primary observations
0.95,8,0.1,ceiling,0.0011333333333333325,0.010014,0.13126463606236263,0.0011333333333333325,0.009517,0.13126463606236263,0.0,-0.0004970000000000009,0.0,robustness only; not primary observations
1.1,1,0.0003,nearest,7.733333333333295e-05,0.00014933333333333332,0.0005564926885427686,7.733333333333295e-05,0.00014933333333333332,0.0005564926885427686,0.0,0.0,0.0,robustness only; not primary observations
1.25,4,0.01,floor,0.0003526666666666678,0.0028956666666666666,0.02566655720050791,0.0003526666666666678,0.0028816666666666665,0.02566655720050791,0.0,-1.4000000000000123e-05,0.0,robustness only; not primary observations
0.95,16,0.001,nearest,2.4666666666667512e-05,4.0666666666666675e-05,0.0018832996310324225,2.4666666666667512e-05,4.0666666666666675e-05,0.0018832996310324225,0.0,0.0,0.0,robustness only; not primary observations
0.95,1,0.01,ceiling,0.002500666666666664,0.004827,0.012600344265997333,0.002500666666666664,0.004827,0.012600344265997333,0.0,0.0,0.0,robustness only; not primary observations
1.0,16,0.01,ceiling,0.0002306666666666663,0.0006096666666666667,0.014733068871712145,0.0002306666666666663,0.0006076666666666666,0.014733068871712145,0.0,-2.0000000000000486e-06,0.0,robustness only; not primary observations
0.95,4,1e-05,floor,2.000000000002e-06,2.666666666666667e-06,2.4907355970480063e-05,2.000000000002e-06,2.666666666666667e-06,2.4907355970480063e-05,0.0,0.0,0.0,robustness only; not primary observations
1.1,8,0.1,nearest,0.0014173333333333342,0.014969333333333333,0.18664214476638913,0.0014173333333333342,0.014244333333333333,0.18664214476638913,0.0,-0.000725,0.0,robustness only; not primary observations
1.0,4,0.01,floor,0.00028866666666666483,0.0018956666666666668,0.02301405621263215,0.00028866666666666483,0.0018813333333333332,0.02301405621263215,0.0,-1.4333333333333646e-05,0.0,robustness only; not primary observations
