rho,capacity,quantizer,policy,arrival_scheduling_mode,n,mean_slope,sd_slope,median_slope,q25_slope,q75_slope,bootstrap_ci95_low,bootstrap_ci95_high
0.8,1,nearest,departure_first,schedule_next_after_transition,30,1.0040260865987016,0.12472958550982342,0.9997334990789153,0.9033325740251418,1.0979437076742746,0.9610153710680738,1.0492350492923912
0.8,4,ceiling,arrival_first,preload_all,30,0.9569740019743818,0.12299964857764667,0.9610320019027139,0.8540235746337499,1.0781679156498445,0.91353235287894,0.9999849600051393
0.8,4,ceiling,arrival_first,schedule_next_after_transition,30,0.9569740019743818,0.12299964857764667,0.9610320019027139,0.8540235746337499,1.0781679156498445,0.91353235287894,0.9999849600051393
0.8,4,ceiling,departure_first,preload_all,30,0.9569898070634806,0.1230751887513372,0.9610177572799243,0.8540155025484948,1.0781569128504536,0.9134658971173728,0.999985001091395
0.8,4,ceiling,departure_first,schedule_next_after_transition,30,0.9569898070634806,0.1230751887513372,0.9610177572799243,0.8540155025484948,1.0781569128504536,0.9134658971173728,0.999985001091395
0.8,4,floor,arrival_first,preload_all,30,0.9991065859218894,0.09227417624479035,0.9979447401378558,0.9345485562216931,1.0440135092217817,0.9678398305830002,1.0321257730878775
0.8,4,floor,arrival_first,schedule_next_after_transition,30,0.9991065859218894,0.09227417624479035,0.9979447401378558,0.9345485562216931,1.0440135092217817,0.9678398305830002,1.0321257730878775
0.8,4,floor,departure_first,preload_all,30,0.9992239668744336,0.09254474105668062,0.9981544847477444,0.9345330417661658,1.0442029546003613,0.9678862129422015,1.0323267632766733
0.8,4,floor,departure_first,schedule_next_after_transition,30,0.9992239668744336,0.09254474105668062,0.9981544847477444,0.9345330417661658,1.0442029546003613,0.9678862129422015,1.0323267632766733
0.8,4,nearest,arrival_first,preload_all,30,0.9890532988461538,0.11978664335098102,0.9617746926776924,0.9134163884357924,1.0764828641585038,0.9478233137929014,1.0315320050568513
0.8,4,nearest,arrival_first,schedule_next_after_transition,30,0.9890532988461538,0.11978664335098102,0.9617746926776924,0.9134163884357924,1.0764828641585038,0.9478233137929014,1.0315320050568513
0.8,4,nearest,departure_first,preload_all,30,0.9890332822916047,0.11989744831358959,0.96176205972672,0.9134041977766642,1.076471206386903,0.9478060515890506,1.0316183114461246
0.8,4,nearest,departure_first,schedule_next_after_transition,30,0.9890332822916047,0.11989744831358959,0.96176205972672,0.9134041977766642,1.076471206386903,0.9478060515890506,1.0316183114461246
0.8,8,ceiling,arrival_first,preload_all,30,0.9685086967517037,0.11275172877693608,0.9552546109651991,0.8787850881745253,1.0588931812884166,0.9300316370657734,1.0086143481511407
0.8,8,ceiling,arrival_first,schedule_next_after_transition,30,0.9685086967517037,0.11275172877693608,0.9552546109651991,0.8787850881745253,1.0588931812884166,0.9300316370657734,1.0086143481511407
0.8,8,ceiling,departure_first,preload_all,30,0.9685994676800856,0.11272141705261586,0.9566909475629934,0.8789758662562779,1.0586426826094417,0.9300929979473869,1.0086777847692623
