analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_914b026a6d50e3cd6b2c3eb0,0.5,1,0.03,ceiling,schedule_next_after_transition,30,0.006727999999999995,0.020889119373383797,0.009990666666666667,0.009990666666666667,1.0,0.006535983333333321,0.006922683333333337,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_91799dbdd0f4d0c461ba5012,0.8,16,0.0003,ceiling,schedule_next_after_transition,30,1.3333333333333368e-06,0.00034371574574366184,0.00024266666666666667,2.0000000000000003e-06,0.0625,0.0,3.3333333333333422e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_918d6e72a58075222cad2858,1.1,4,0.1,ceiling,schedule_next_after_transition,30,0.0034106666666666664,0.14635814709890785,0.07742366666666665,0.023005333333333332,0.25,0.0030539999999999986,0.0037900000000000026,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_918f4a7df0d60a52797a96e5,0.95,16,1e-05,floor,schedule_next_after_transition,30,0.0,2.5824347048476253e-05,1e-05,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_924692c1f6989e71c664c159,1.1,16,0.01,floor,schedule_next_after_transition,30,0.0004980000000000003,0.025378203593641194,0.009919333333333334,0.001089,0.0625,0.00038066666666666663,0.000623333333333334,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9285a5cd5aef8fb113434be1,0.8,4,0.0001,floor,schedule_next_after_transition,30,6.000000000000449e-06,0.00019734578100966487,0.00010333333333333333,9.333333333333334e-06,0.25,2.00000000000015e-06,1.066666666666762e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_92b97880b375bd2abd96d7ce,0.8,8,0.03,ceiling,schedule_next_after_transition,30,0.00024800000000000077,0.035064326701509725,0.022556333333333334,0.0011876666666666667,0.125,0.00020333333333333314,0.00029933333333333434,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9302e344ffe2c6b1a8a2378a,1.0,8,0.0001,floor,schedule_next_after_transition,30,6.666666666667783e-06,0.00023087984658807403,0.0001,1.1333333333333334e-05,0.125,2.0000000000006123e-06,1.2000000000001825e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_935e78886d38a6d0045a2fa1,0.8,8,0.0001,floor,schedule_next_after_transition,30,1.9999999999999186e-06,0.00020261275426850447,9.666666666666668e-05,3.3333333333333333e-06,0.125,0.0,5.333333333333116e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_93be63ac05945612b40c72ac,1.0,16,0.0001,ceiling,schedule_next_after_transition,30,1.2000000000000436e-05,0.00017248015398163994,0.00011466666666666666,7.333333333333335e-06,0.0625,2.00000000000015e-06,2.733333333333407e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_951b4904563a65b23724ffaf,0.5,16,0.0003,ceiling,schedule_next_after_transition,30,0.0,0.00024500138338710023,0.00015733333333333335,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9599521552c2a9ec498aac92,1.25,16,0.0001,nearest,schedule_next_after_transition,30,0.0001293333333333313,0.00023245583921247632,9.633333333333333e-05,1.8333333333333333e-05,0.0625,7.264999999999781e-05,0.00020066666666666383,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_96393268317d21469e9e258e,1.1,8,1e-05,floor,schedule_next_after_transition,30,0.0,2.6045006282142967e-05,1e-05,6.666666666666667e-07,0.125,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_971125be550494fdca28bec2,1.0,16,0.003,ceiling,schedule_next_after_transition,30,0.00011600000000000037,0.0044492171973134756,0.00283,0.0001756666666666667,0.0625,8.933333333333316e-05,0.00014533333333333366,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_97246509e2355ae1ccaacff5,1.1,8,0.003,floor,schedule_next_after_transition,30,0.00019199999999999588,0.007524059157745984,0.00299,0.0004766666666666667,0.125,0.00014666666666666254,0.00023866666666666388,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_975130da0bb40826d31f45ec,0.8,4,0.01,floor,schedule_next_after_transition,30,0.0003766666666666659,0.020607025936686858,0.009910333333333333,0.0011713333333333333,0.25,0.00032199999999999774,0.000432,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_977d59561278331dc1c8f731,0.95,16,1e-05,nearest,schedule_next_after_transition,30,1.3333333333335102e-06,1.7659051937855277e-05,8e-06,6.666666666666667e-07,0.0625,0.0,4.000000000000531e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_979533fd90ae2d9926620513,1.0,1,0.1,nearest,schedule_next_after_transition,30,0.024300666666666682,0.1536130437159634,0.068618,0.045239666666666664,1.0,0.02395200000000002,0.024660666666666668,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_97c5b4cc9e8ad356506ac786,0.95,16,0.03,ceiling,schedule_next_after_transition,30,0.00024866666666666646,0.04163923657815954,0.02690666666666667,0.00126,0.0625,0.00017666666666666642,0.00032866666666666575,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9886b03e3c5eb0a437bfea05,1.0,4,3e-05,nearest,schedule_next_after_transition,30,2.666666666665633e-06,5.7023273107813836e-05,2.7333333333333335e-05,6.666666666666667e-06,0.25,0.0,5.999999999997674e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_98a26bdd6a0c935b1c39a843,0.8,1,0.03,ceiling,schedule_next_after_transition,30,0.007315333333333339,0.03233239717111429,0.013228,0.013228,1.0,0.0070893166666666715,0.007540000000000006,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9909939b5c8e5fc337425713,1.1,16,0.03,nearest,schedule_next_after_transition,30,0.0007786666666666677,0.060668886424968704,0.028722,0.0032773333333333335,0.0625,0.0005673333333333345,0.0010053500000000016,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_991a57ee8568d945b154a8bd,0.8,8,0.0001,ceiling,schedule_next_after_transition,30,5.3333333333335784e-06,0.00011354494697896285,7.933333333333334e-05,6e-06,0.125,6.666666666666395e-07,1.3333333333333714e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9a08be14b01309ee3d5576b9,1.1,1,0.001,floor,schedule_next_after_transition,30,0.0002566666666666643,0.0021679744769790028,0.001028,0.000514,1.0,0.00022533333333332183,0.00028933333333334515,mean of workload-paired AF/DF estimates,workload replication
