workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_048666e41aa24925f3392201,1.25,8,floor,preload_all,6,0.9585031337322608,0.5523466089246851,AF/DF midpoint before one log-log slope per workload-design
workload_048666e41aa24925f3392201,1.25,8,nearest,preload_all,6,1.110634548331502,1.373131874761807,AF/DF midpoint before one log-log slope per workload-design
workload_05a542f5600e93c860069a01,1.1,1,ceiling,preload_all,6,0.8819558531412452,-0.5065696071550475,AF/DF midpoint before one log-log slope per workload-design
workload_05a542f5600e93c860069a01,1.1,1,floor,preload_all,6,0.8506923817728042,-0.3968960493679849,AF/DF midpoint before one log-log slope per workload-design
workload_05a542f5600e93c860069a01,1.1,1,nearest,preload_all,5,0.9790273180277952,0.5132370203474591,AF/DF midpoint before one log-log slope per workload-design
workload_05a7797186fd7e8817cd4390,1.25,16,ceiling,preload_all,6,0.8868202382213243,-0.2746562609410808,AF/DF midpoint before one log-log slope per workload-design
workload_05a7797186fd7e8817cd4390,1.25,16,floor,preload_all,6,0.8367901184580727,-0.0977038761169159,AF/DF midpoint before one log-log slope per workload-design
workload_05a7797186fd7e8817cd4390,1.25,16,nearest,preload_all,6,0.9783582521431086,0.6377421659781802,AF/DF midpoint before one log-log slope per workload-design
workload_0609ba057c41dd1866540462,1.1,1,ceiling,preload_all,6,0.7523910763147409,-1.402665899448288,AF/DF midpoint before one log-log slope per workload-design
workload_0609ba057c41dd1866540462,1.1,1,floor,preload_all,6,0.8978219515869305,0.1644272629150432,AF/DF midpoint before one log-log slope per workload-design
workload_0609ba057c41dd1866540462,1.1,1,nearest,preload_all,6,0.7343385823805829,-1.224792815934098,AF/DF midpoint before one log-log slope per workload-design
workload_0617fe2346fb8937bf983015,1.25,4,ceiling,preload_all,6,0.8803777477684348,-0.4246574532956618,AF/DF midpoint before one log-log slope per workload-design
workload_0617fe2346fb8937bf983015,1.25,4,floor,preload_all,6,0.969913034449827,0.6659285811286363,AF/DF midpoint before one log-log slope per workload-design
