configuration_id,rho,capacity,delta,quantizer,policy,arrival_scheduling_mode,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_sojourn_time,mean_occupancy,mean_collision_event_fraction,mean_collided_tick_fraction,mean_mixed_collision_rate,mean_critical_acceptance_difference_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
configuration_b065f12658d95039ba8a70e4,1.0,4,1e-05,ceiling,arrival_first,preload_all,30,0.199436,0.003335404230271098,0.799945492849139,1.4997364177595391,2.4996097968129978,1.9994436862870495,1.4808267001502757e-05,7.4042651387881234e-06,8.666666666666668e-06,2.0000000000000003e-06,0.0006089587117725452,0.19824244092492582,0.20062955907507418
configuration_b06a24134c43babdbc137b46,1.0,16,0.003,ceiling,insertion_order,preload_all,30,0.06032933333333333,0.0038736483144921428,0.9409623562627535,7.58378068982194,8.585763865432986,8.078208664013156,0.0044444340076291115,0.0022259909484743465,0.0028253333333333333,0.00017533333333333333,0.0007072281872297375,0.05894316608636305,0.06171550058030362
configuration_b07a844b773b6aea93e32dc9,1.25,1,0.0003,nearest,insertion_order,schedule_next_after_transition,30,0.5554713333333333,0.0017990547965305848,0.5554950346097766,0.0,1.0003504005315684,0.5556658062183263,0.0005788048531274354,0.0002894902171804956,0.000242,0.00017066666666666668,0.0003284609647492227,0.5548275498424249,0.5561151168242418
configuration_b087197ad0ab8e6013446565,1.1,1,0.0003,ceiling,arrival_first,schedule_next_after_transition,30,0.5241833333333333,0.002331878528411029,0.5230351935467069,0.0,1.0014557240928756,0.5237710146993174,0.0004444974372289657,0.00022230183308458507,0.00016,0.00016,0.0004257408237908906,0.5233488813187032,0.5250177853479635
configuration_b09237a721856c3553e61599,1.25,4,0.01,ceiling,arrival_first,preload_all,30,0.299462,0.0030453960729894167,0.8745629256295994,1.7853851775491036,2.791162277512138,2.440964230861743,0.017543734830026858,0.008823752631551609,0.008674,0.002927333333333333,0.0005560107085713176,0.2983722190112002,0.3005517809887998
configuration_b09d54aa7efba14ef92c147e,0.5,16,0.003,nearest,arrival_first,schedule_next_after_transition,30,5.333333333333334e-06,1.279367659898984e-05,0.49993291750191393,0.9962811259952831,1.9956127591785693,0.99767498598708,0.0037673568809166043,0.001885253442566507,0.002276666666666667,0.0,2.3357950888975704e-06,7.551749590940955e-07,9.911491707572571e-06
configuration_b0aa5622b43b95a05da44977,1.1,1,0.03,floor,departure_first,preload_all,30,0.5166013333333334,0.002434459131792467,0.5313693595012413,0.0,0.9859267186143914,0.5238667342916423,0.06124783725654096,0.03119715943764993,0.029084,0.015398666666666666,0.0004444693939357254,0.5157301733212193,0.5174724933454474
configuration_b0b3eb8385dd087bc741a134,0.95,1,1e-05,ceiling,arrival_first,preload_all,30,0.48697466666666667,0.0020417432263384275,0.48715812649185763,0.0,1.0005375265702676,0.48740494742372337,1.3220026859275341e-05,6.610135737330632e-06,5.333333333333334e-06,5.333333333333334e-06,0.0003727696072329776,0.48624403823649004,0.4877052950968433
configuration_b0d878a531a1b410e29cf647,0.5,4,0.0003,floor,arrival_first,preload_all,30,0.03235933333333333,0.0011429119896527275,0.48386602670005946,0.7311200698573183,1.729679499602076,0.8369295491260111,0.0004906141045212415,0.00024536876578858883,0.0002646666666666667,7.333333333333334e-06,0.00020866622599196997,0.03195034753038907,0.03276831913627759
configuration_b0dd594c787e2e944875c00b,1.1,4,0.0003,floor,departure_first,schedule_next_after_transition,30,0.23976933333333333,0.0029302264633363686,0.8364230343560245,1.619728935455382,2.619739365724685,2.191080303206789,0.0007157530887516809,0.00035800751291938056,0.0003113333333333334,7.266666666666667e-05,0.0005349837108559713,0.23872076526005562,0.24081790140661105
